Fragmentation,Emotion,High_Mean,Low_Mean,T_Statistic,P_value,High_Count,Low_Count
Stationary_index,PEACE,2.65,2.72,-0.415,0.6788,55,58
Mobile_index,PEACE,2.62,2.71,-0.533,0.5953,47,49
Stationary_index,TENSE,2.47,2.53,-0.372,0.7103,55,58
Mobile_index,TENSE,2.40,2.59,-1.071,0.2868,47,49
Stationary_index,IRRITATION,1.89,2.03,-0.874,0.3838,54,58
Mobile_index,IRRITATION,1.94,1.96,-0.128,0.8983,47,49
Stationary_index,RELAXATION,2.64,2.82,-1.095,0.2760,55,57
Mobile_index,RELAXATION,2.77,2.65,0.642,0.5227,47,48
Stationary_index,SATISFACTION,2.33,2.43,-0.531,0.5966,54,58
Mobile_index,SATISFACTION,2.59,2.27,1.604,0.1121,46,49
Stationary_index,WORRY,2.29,1.95,2.116,0.0366,55,58
Mobile_index,WORRY,2.28,1.92,2.077,0.0405,47,49
Stationary_index,HAPPY,3.09,3.02,0.475,0.6361,55,58
Mobile_index,HAPPY,3.13,2.98,0.891,0.3750,47,49
